sample_id,label,payload_original,payload_obfuscated,generator,recipe
0,0,_maybeenablecycle() { if (!this._config.ride) { return,_maybeenablecycle() { if (!this._config.ride) { return,llm_style_t1.5,none
1,0,"m.initializejquerywrapper(parallax, 'parallax', 'm_parallax')","m.initializejquerywrapper(parallax, 'parallax', 'm_parallax')",llm_style_t1.5,none
2,0,"var outevent = attachevent(""mouseout"", document.documentelement, documentleave, { handlenumbers: data.handlenumbers });","var outevent = attachevent(""mouseout"", document.documentelement, documentleave, { handlenumbers: data.handlenumbers });",llm_style_t1.5,none
3,0,switch (event.type) {,switch (event.type) {,llm_style_t1.5,none
4,1,"<dt onmousemove=""alert(1)"">test</dt>","dt> t<  /tes) "">t(  1ler= ""aovesemmou on<dt",llm_style_t1.5,reverse_chunks+whitespace_noise
5,0,"<link rel=""dns-prefetch"" href=""//meta.wikimedia.org"" />","<link rel=""dns-prefetch"" href=""//meta.wikimedia.org"" />",llm_style_t1.5,none
6,0,$(this.modalel).remove(); this.destroyselects(); this.el.m_datepicker = undefined;,$(this.modalel).remove(); this.destroyselects(); this.el.m_datepicker = undefined;,llm_style_t1.5,none
7,0,"let offset = this.options.margin + this.options.transitionmovement; let edges = m.checkwithincontainer(document.body, bounding, offset); if (edges.left) {","let offset = this.options.margin + this.options.transitionmovement; let edges = m.checkwithincontainer(document.body, bounding, offset); if (edges.left) {",llm_style_t1.5,none
8,0,this._verticallyscrolling = false; anim.remove(this.el); anim.remove(this._overlay);,this._verticallyscrolling = false; anim.remove(this.el); anim.remove(this._overlay);,llm_style_t1.5,none
9,0,".on('click', this.done.bind(this)); confirmationbtnscontainer.appendto(this.footer); }",".on('click', this.done.bind(this)); confirmationbtnscontainer.appendto(this.footer); }",llm_style_t1.5,none
10,0,if (q >= g.currenttime) for (var g = 0,if (q >= g.currenttime) for (var g = 0,llm_style_t1.5,none
11,1,<multicol id=x tabindex=1 onfocusin=alert(1)></multicol>,%3Cmulticol%20id%3Dx%20tabindex%3D1%20onfocusin%3Dalert%281%29%3E%3C%2Fmulticol%3E,llm_style_t1.5,urlencode
12,1,"<acronym ondblclick=""alert(1)"">test</acronym>",%2526lt%253Bacronym%2520ondblclick%253D%2526quot%253Balert%25281%2529%2526quot%253B%2526gt%253Btest%2526lt%253B%252Facronym%2526gt%253B,llm_style_t1.5,html_then_urlencode+whitespace_noise+urlencode
13,0,const data_api_key$2 = '.data-api'; const escape_key$1 = 'escape'; const event_hide$4 = `hide${event_key$4}`;,const data_api_key$2 = '.data-api'; const escape_key$1 = 'escape'; const event_hide$4 = `hide${event_key$4}`;,llm_style_t1.5,none
