sample_id,label,payload_original,payload_obfuscated,generator,recipe
0,0,_maybeenablecycle() { if (!this._config.ride) { return,_maybeenablecycle() { if (!this._config.ride) { return,tool_baseline,none
1,0,"m.initializejquerywrapper(parallax, 'parallax', 'm_parallax')","m.initializejquerywrapper(parallax, 'parallax', 'm_parallax')",tool_baseline,none
2,0,"var outevent = attachevent(""mouseout"", document.documentelement, documentleave, { handlenumbers: data.handlenumbers });","var outevent = attachevent(""mouseout"", document.documentelement, documentleave, { handlenumbers: data.handlenumbers });",tool_baseline,none
3,0,switch (event.type) {,switch (event.type) {,tool_baseline,none
4,1,"<dt onmousemove=""alert(1)"">test</dt>",&lt;dt onmousemove=&quot;alert(1)&quot;&gt;test&lt;/dt&gt;,tool_baseline,html_entities
5,0,"<link rel=""dns-prefetch"" href=""//meta.wikimedia.org"" />","<link rel=""dns-prefetch"" href=""//meta.wikimedia.org"" />",tool_baseline,none
6,0,$(this.modalel).remove(); this.destroyselects(); this.el.m_datepicker = undefined;,$(this.modalel).remove(); this.destroyselects(); this.el.m_datepicker = undefined;,tool_baseline,none
7,0,"let offset = this.options.margin + this.options.transitionmovement; let edges = m.checkwithincontainer(document.body, bounding, offset); if (edges.left) {","let offset = this.options.margin + this.options.transitionmovement; let edges = m.checkwithincontainer(document.body, bounding, offset); if (edges.left) {",tool_baseline,none
8,0,this._verticallyscrolling = false; anim.remove(this.el); anim.remove(this._overlay);,this._verticallyscrolling = false; anim.remove(this.el); anim.remove(this._overlay);,tool_baseline,none
9,0,".on('click', this.done.bind(this)); confirmationbtnscontainer.appendto(this.footer); }",".on('click', this.done.bind(this)); confirmationbtnscontainer.appendto(this.footer); }",tool_baseline,none
10,0,if (q >= g.currenttime) for (var g = 0,if (q >= g.currenttime) for (var g = 0,tool_baseline,none
11,1,<multicol id=x tabindex=1 onfocusin=alert(1)></multicol>,%3Cmulticol%20id%3Dx%20tabindex%3D1%20onfocusin%3Dalert%281%29%3E%3C%2Fmulticol%3E,tool_baseline,urlencode
12,1,"<acronym ondblclick=""alert(1)"">test</acronym>",PGFjcm9ueW0gb25kYmxjbGljaz0iYWxlcnQoMSkiPnRlc3Q8L2Fjcm9ueW0+,tool_baseline,base64
13,0,const data_api_key$2 = '.data-api'; const escape_key$1 = 'escape'; const event_hide$4 = `hide${event_key$4}`;,const data_api_key$2 = '.data-api'; const escape_key$1 = 'escape'; const event_hide$4 = `hide${event_key$4}`;,tool_baseline,none
14,1,"<applet onmousemove=""alert(1)"">test</applet>",%3Capplet%20onmousemove%3D%22alert%281%29%22%3Etest%3C%2Fapplet%3E,tool_baseline,urlencode
15,1,"<summary draggable=""true"" ondragleave=""alert(1)"">test</summary>","<summary draggable=""  true""  ondragleave=""alert( 1)"">test</summary>",tool_baseline,whitespace_noise
16,0,"<li id=""cite_note-379""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-379"">^ </a> </b>","<li id=""cite_note-379""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-379"">^ </a> </b>",tool_baseline,none
